,GDP_trend,debt,bank_rate,inflation
200,0.0799439883957,121.127584141,5.0,11.6684841876
201,-0.406112559946,120.85695953,7.0,0.48828125
202,2.19367739686,117.024346712,6.0,-0.485908649174
203,0.190602455194,117.183618103,8.0,-3.61328125
204,-1.505672862,120.018118807,2.5,-8.40932117528
205,0.603826642142,112.789984102,2.5,-0.221238938053
206,0.299151166245,110.583136356,6.0,9.86696230599
207,0.502107693463,104.774497947,3.0,2.72452068618
208,-0.463422605548,103.055815165,3.0,-2.16110019646
209,-0.139799134799,97.4839348299,7.0,-3.21285140562
210,-0.71603104079,93.0114830926,6.0,-3.31950207469
211,1.42788081004,88.8123065807,7.0,2.14592274678
212,-0.119047062359,85.4615989788,3.5,7.45798319328
213,-3.76026877423,86.0043942009,2.0,5.27859237537
214,-3.00417798169,85.9379667532,3.0,-3.52831940576
215,-3.62094386684,83.7517224308,3.0,-6.15976900866
216,1.87470195293,77.9187575912,2.5,0.421644413212
217,4.35016057679,71.7409633733,3.0,2.79916025192
218,2.06123118978,67.1137346067,5.0,4.22055820286
219,0.598321150692,63.4868319863,5.5,0.783801436969
220,2.62410076218,63.4743933193,6.0,-4.53661697991
221,1.63736565462,64.8951229405,4.0,-1.49355057705
222,0.514936476529,65.7598782174,2.0,0.206753962784
223,-0.604371088274,66.6096650222,4.0,-0.0687757909216
224,-1.41167828537,68.5100385559,5.0,-3.02821748107
225,-5.24511727549,70.9396329457,3.0,-4.47125621008
226,0.700309442144,66.1569353773,3.0,2.0059435364
227,1.07310479341,64.3980001936,5.0,-1.23816460306
228,1.1853862344,61.8880163709,5.0,0.147492625369
229,2.79422989209,61.1623896242,3.0,0.0
230,0.384632444935,62.6202474278,5.0,-3.44186046512
231,-2.04266879717,64.0464375948,4.0,-3.46820809249
232,-2.93258157412,63.2653570968,5.0,-0.898203592814
233,-0.57310325628,58.5822658571,4.0,-2.01409869084
234,0.846540399917,55.157564236,5.0,-0.205549845838
235,2.282615065,51.621240131,6.0,0.823892893924
236,1.36335384655,49.9168425251,5.0,0.408580183861
237,1.7941051387,49.4172658597,3.5,0.813835198372
238,-2.16375659847,50.3190364116,3.0,0.403632694248
239,-4.84058160327,49.952407947,3.0,-1.90954773869
240,-2.08456084229,46.8285627894,2.0,-2.66393442623
241,-1.08554402277,45.1960358358,2.0,-1.36842105263
242,0.959851617963,43.3126185972,4.0,-0.213447171825
243,-0.413770711992,41.668570405,3.0,2.0320855615
244,2.06933577317,39.2237370865,4.0,1.7819706499
245,3.64762316779,37.0741576377,6.0,-1.0298661174
246,1.05634801139,38.3391542834,4.0,4.05827263267
247,1.67296568175,41.6507911453,4.0,-0.3
248,1.3520006275,43.5694359171,4.0,0.0
249,-1.22939612433,44.4588876722,4.0,1.10330992979
250,-1.54998377502,44.4990916388,3.0,-0.396825396825
251,-0.153286097812,42.6515005723,4.0,0.398406374502
252,0.670140269469,40.4215958582,6.0,-0.0992063492063
253,0.839413686578,38.1253603235,7.0,1.58887785501
254,-4.68545548612,39.5262714059,2.5,1.27077223851
255,-3.78789312622,38.9549282432,4.5,0.19305019305
256,-3.03288739134,36.3744351758,4.5,2.11946050096
257,-1.62642466941,34.081613623,4.0,0.283018867925
258,-2.07972951917,32.227579558,5.0,2.82220131703
